event	lumi	run	ele pt	tau pt	met	taudm	tauGM
45883215	20241	1	31.0281	47.0952	23.0726	0	5
64665408	28527	1	31.4237	47.9182	28.8016	1	5
65523738	28906	1	27.4847	37.4571	29.9465	10	5
64992838	28671	1	49.8289	33.8445	70.4162	1	5
74805200	33000	1	36.4174	31.5892	55.7921	1	5
74806639	33001	1	25.8889	36.1151	33.5742	1	5
74858483	33024	1	30.2437	32.0044	18.3641	10	5
75927397	33495	1	31.5761	35.7474	23.7772	1	5
75929714	33496	1	33.7399	32.1366	6.04493	1	5
76867223	33910	1	38.1878	47.1079	45.2441	1	5
76872138	33912	1	199.154	63.0311	132.227	10	5
